门槛值_ln人均GDP,SSR,LR
10.605074021909918,0.7270289437545179,45.74727484344004
10.620107089281216,0.7270289437545179,45.74727484344004
10.6251250034957,0.725901136563391,45.49636359529692
10.627212433560212,0.7268527559880399,45.708077104019374
10.62924712082355,0.7268527559880399,45.708077104019374
10.63226728572478,0.7277726611944492,45.912734926144864
10.650436129564383,0.7283086402581003,46.03197798195912
10.655658073545535,0.7184472141494866,43.8380367189043
10.663779230725403,0.7173015015941846,43.58314193766353
10.666393977510927,0.7237635556316533,45.02080083615785
10.669164675100605,0.7237635556316533,45.02080083615785
10.684782963622766,0.7237635556316533,45.02080083615785
10.685721039263841,0.7228272391751585,44.81249188707116
10.687571728088175,0.7224972976555382,44.73908746195888
10.693103332582247,0.730843790873567,46.59599088253474
10.697316821961982,0.7289854385957711,46.182550098347654
10.702030248141414,0.733390535200152,47.16258311808018
10.711702975923748,0.7333694632753982,47.15789509783848
10.71274971165176,0.733960215798066,47.289323992752834
10.724939993248997,0.7341006378606745,47.32056468289306
10.725841161531715,0.7337489265677631,47.24231698223579
10.730247372419994,0.7339767726510851,47.29300751302918
10.73035673255396,0.7339763029030852,47.2929030048669
10.732803270395875,0.734047109662311,47.30865588574414
10.744084440041084,0.7258671532340057,45.48880308348321
10.749484567190283,0.7258671532340057,45.48880308348321
10.750020834993819,0.7258998407990284,45.49607531742809
10.75479166289073,0.7218894903192989,44.60386426195966
10.758668544943307,0.7239597199242612,45.064442894735414
10.759369889215188,0.7239597199242612,45.064442894735414
10.768295498386117,0.7298890133827588,46.38357477648185
10.769621186412348,0.7299187903731497,46.39019947428809
10.785228246650878,0.7323154965738872,46.92341166604446
10.788679697308252,0.7310744249304982,46.64730167354956
10.801451367717398,0.7310885047764467,46.6504341165313
10.806145782678987,0.734400127997901,47.38719437343703
10.806510657409378,0.734400127997901,47.38719437343703
10.812028330950222,0.7354522677529776,47.62127135152711
10.819298169173406,0.7294333300681844,46.282195684277625
10.824188544898831,0.7299474944382194,46.39658547080423
10.825024498930237,0.7300391319962745,46.41697272693213
10.826694313452013,0.7300224011013946,46.41325048633118
10.83093580710616,0.7302756529491444,46.4695932173524
10.833957285583553,0.7304728301546816,46.51346062583847
10.836537068225239,0.7106309090821888,42.09908800875876
10.840168974058017,0.7052907084621033,40.91101578022347
10.840580412039547,0.7073681558627338,41.37320020708728
10.844236723242657,0.7097552364735659,41.9042709257299
10.852400351227539,0.7093092166840809,41.80504174634828
10.859902435494437,0.7017972595954732,40.13380348511971
10.864369167738158,0.6797718668729248,35.23365847599385
10.869272962256426,0.6650657289371074,31.961879883100075
10.888221671625066,0.6583030386435892,30.457336308895297
10.889416281092553,0.6567115697451443,30.103270959045258
10.895423645604193,0.6595249478316133,30.729183094318184
10.903310282040389,0.6593155634596787,30.682599871124435
10.908521494244672,0.6559869007743077,29.94204872408014
10.908832573233795,0.6567697548781881,30.116215817413117
10.909454441052057,0.6407238607385857,26.54637217940886
10.910770062416013,0.6428547896981301,27.02045502721315
10.915470209522413,0.5932183011280023,15.97747410054651
10.919008045337785,0.5937075153259863,16.086313045705957
10.92302055817699,0.6051514868297092,18.63233438366546
10.926280148482137,0.5981663927139325,17.078311057005
10.934231337378996,0.5984804548595878,17.14818268540111
10.943057300570455,0.5984804548595878,17.14818268540111
10.948065952711753,0.5984804548595878,17.14818268540111
10.951946247987701,0.5863450051078363,14.448323287495109
10.968353449904356,0.5663375281704476,9.997118285389597
10.968525822090808,0.5688047263431595,10.546013325075402
10.973820386914666,0.5688047263431595,10.546013325075402
10.978984733698187,0.572350745757002,11.334921361898507
10.9893353877531,0.572350745757002,11.334921361898507
11.003831674048996,0.5674403201922523,10.242464231762582
11.011406400524537,0.5726488147966196,11.401234890799259
11.020512614211363,0.5756604369561039,12.071251788117157
11.02183710688727,0.575758214205326,12.093004984794158
11.041496820872947,0.5566063424458989,7.832152522386089
11.04351366056162,0.5229535410080308,0.3451756005147606
11.050778888089262,0.5232438821193681,0.4097698425146786
11.053568953468252,0.5233398934419785,0.43113016099958956
11.069306674229184,0.5214020301557152,0.0
11.089897020481475,0.5348205037200473,2.985302786407773
11.095392836343734,0.5327361296202093,2.5215773277458733
11.101703819749684,0.5384168280765939,3.785402519879874
11.10482187913902,0.5394252695569225,4.009757633501481
11.134004912084176,0.5394252098073793,4.009744340597713
11.151539441301377,0.5394252098073793,4.009744340597713
11.154835234271214,0.5462107140876474,5.519363503906367
11.17180042080831,0.5475240597210826,5.811552802503816
11.172826660293318,0.5469018207344839,5.673118891105546
11.179408856174648,0.5419205396089304,4.564898022859903
11.18198788384749,0.53584096899292,3.2123329182580087
11.20758167184534,0.5601004180411148,8.609504250234165
11.212144643928866,0.5601004180411148,8.609504250234165
11.216364087911852,0.5509282183956313,6.568900076601919
11.241352934251516,0.5505856581986576,6.49268828502702
11.247813428833517,0.5532281363869611,7.080579110368968
11.268226250690303,0.5910552448998383,15.496243671903771
11.269375103878357,0.5910552448998383,15.496243671903771
11.28535964984543,0.5910552448998383,15.496243671903771
11.309890866578732,0.5961007972179935,16.618763407262698
11.3356869675134,0.595218890303466,16.422559334074418
11.357580739220454,0.5955817915596506,16.50329654506082
11.37315752257707,0.6212720736310199,22.218795426775653
11.376876620506952,0.6233040743955753,22.670869018852073
11.390995090983237,0.6278169489625658,23.674880164751436
