区间,TFP系数,聚类标准误,t值,p值,观测值
低于或等于门槛,0.3748487592463853,0.17057626973386292,2.1975434204959052,0.03584024722529374,106
高于门槛,-0.3438351574123626,0.22240796989168127,-1.5459659902467509,0.13259784735118108,49
