效应,估计值,模拟标准误,z值,p值,95%CI下限,95%CI上限
直接效应,0.36812494720875966,0.0858762805484097,4.286689466030638,1.8135552969996468e-05,0.2007069222365831,0.5359102975959406
间接效应,0.29650238096192627,0.2130306930402742,1.3918293966488269,0.16397406585331764,-0.12740132643292357,0.7255394562181452
总效应,0.6646273281706859,0.23163781986579066,2.869252216912447,0.004114435649024545,0.20260099920849672,1.1309106686575672
