year,n,Y_mean,Y_sd,TFP_mean,TFP_sd
2016,31,0.36504536669633736,0.14851270808782896,1.0,0.0
2017,31,0.3939302479625632,0.14188768794399761,1.0011265098802222,0.07612823862389186
2018,31,0.41356162705886335,0.1355365142930771,1.1085458160319477,0.14820329067925048
2019,31,0.4401189487858318,0.13092736839327387,1.2449082676716985,0.19955311818973287
2020,31,0.46180968435254727,0.12346538214294075,1.3864555731199757,0.24463041824248238
