year,region,n,Y_mean,Y_sd,TFP_mean,TFP_sd
2016,Central,8,0.3160229294154744,0.06773360352104349,1.0,0.0
2016,Eastern,11,0.5017023953849934,0.15103306639195604,1.0,0.0
2016,Western,12,0.27245804858564465,0.08198384774580426,1.0,0.0
2017,Central,8,0.34351979297526153,0.07228059011856235,0.9673597214036864,0.1114097427922755
2017,Eastern,11,0.5230678179624692,0.14377640107004672,0.9853315748383458,0.04485624382557465
2017,Western,12,0.30916111212085057,0.08015583594038767,1.0381163926529662,0.059218129126144985
2018,Central,8,0.37235621890290826,0.061684080252618075,1.0134530852162364,0.09810817549864129
2018,Eastern,11,0.5321596096248805,0.1408302813990118,1.084144234094489,0.08008531827692171
2018,Western,12,0.332317081810651,0.08454517043274293,1.194309086685092,0.18097174273423414
2019,Central,8,0.4015432462804257,0.06439987950366545,1.1478487736279306,0.09321938124352602
2019,Eastern,11,0.5411108277765874,0.15411803195209883,1.1851131873350107,0.08858609184799911
2019,Western,12,0.37326019471457644,0.07975270548755074,1.3644267540095079,0.26444266047415677
2020,Central,8,0.43245531401255455,0.06715006064689848,1.3110892412160253,0.08644718187419122
2020,Eastern,11,0.5647004383999346,0.13678580988909028,1.272015492962521,0.1294372241940328
2020,Western,12,0.38706274003577074,0.0662318548826159,1.5416032012002763,0.3158131679793672
