variable,coef,cluster_se,t,p,ci_low,ci_high,significance
const,0.23323435912185175,11.105815727423199,0.02100110112091401,0.9833838390904897,-22.447867205751642,22.914335923995345,
ln_cum_tfp,0.4460320940748632,0.1939682859615108,2.2995104166841456,0.02861265828663082,0.04989600625970764,0.8421681818900189,**
ln_pop_density,-0.10389669222778508,1.341571667378989,-0.07744401194068647,0.9387845458302843,-2.84375155667002,2.63595817221445,
primary_share,-0.0028778086655420407,0.025981145980623944,-0.11076527061924962,0.9125402054400149,-0.055938387484911936,0.050182770153827855,
province_云南,-1.2221696350658977,4.40273583845855,-0.277593223829162,0.7832286949395851,-10.21375577032013,7.769416500188335,
province_内蒙古,-1.0448825243476456,6.81919990143748,-0.15322655728678455,0.8792456364407031,-14.971546657065526,12.881781608370234,
province_北京,0.22317466537265496,1.4395381269974015,0.15503213231187854,0.8778343709235376,-2.716754401189611,3.163103731934921,
province_吉林,-0.8605102404473044,4.329801380417928,-0.1987412735233238,0.8438059099185032,-9.703144340929917,7.982123860035308,
province_四川,-0.7803228557523205,3.980405973523868,-0.1960410221828448,0.8458999671724313,-8.90939634037703,7.34875062887239,
province_天津,-0.2531763876812123,1.6049485019852316,-0.1577473591009601,0.875712876682579,-3.5309185070675833,3.0245657317051586,
province_宁夏,-1.1168006786922327,4.680494407993644,-0.23860741651242867,0.8130324384594002,-10.67564549000962,8.442044132625155,
province_安徽,-0.5670264817882646,2.784511031203217,-0.203635925817556,0.8400130506217661,-6.253756665081552,5.119703701505022,
province_山东,-0.34225453614079004,2.288111334335101,-0.14957949423394,0.8820974625649064,-5.01520129120404,4.33069221892246,
province_山西,-0.9467134792733809,3.7392383499705204,-0.25318350708529846,0.8018533794833234,-8.583256968963463,6.689830010416701,
province_广东,-0.3771556280930044,2.265682475262052,-0.16646446808455898,0.8689083360302663,-5.004296542045103,4.249985285859094,
province_广西,-0.7714821487502324,3.6198823158533995,-0.21312354420239013,0.8326722915584471,-8.164268097469566,6.621303799969103,
province_新疆,-0.9688222633900772,7.153806905131746,-0.13542751100747458,0.8931784929621343,-15.578845063438244,13.64120053665809,
province_江苏,-0.07983838484489247,2.060310245154149,-0.03875066147570368,0.9693459098473123,-4.287553249958461,4.127876480268676,
province_江西,-0.7323025104749679,3.411051165282771,-0.21468529054276472,0.8314653865069822,-7.698598352366212,6.2339933314162765,
province_河北,-0.9485844773806136,2.880712986564184,-0.3292880900682809,0.7442259374598388,-6.831785264349924,4.934616309588697,
province_河南,-0.7342373542248062,2.357469930998781,-0.3114514185611412,0.7576115813072438,-5.548833260861997,4.080358552412385,
province_浙江,-0.2628643155225481,2.4653718601948333,-0.10662258289172427,0.915798220144419,-5.297825360138602,4.772096729093506,
province_海南,-0.6067031628988389,3.123448818807711,-0.19424142929623248,0.8472961960537982,-6.985636654216463,5.772230328418785,
province_湖北,-0.47705796680969215,3.193788632735157,-0.1493705506745261,0.882260895307243,-6.999644522692693,6.045528589073308,
province_湖南,-0.6042851697188087,3.199868864817694,-0.18884685443296648,0.851484621876099,-7.1392892161118935,5.930718876674276,
province_甘肃,-1.1519898867946097,5.3873265314001815,-0.21383331418287063,0.8321237354456189,-12.154378474974086,9.850398701384867,
province_福建,-0.5234235189133951,3.1924710526445943,-0.16395560375709564,0.8708657243826395,-7.043319217268468,5.996472179441678,
province_西藏,-1.9218846599021333,9.519338252025344,-0.2018926745767471,0.8413634511932537,-21.362966974228264,17.519197654423998,
province_贵州,-1.0743524950037706,3.604613129227376,-0.29804932082518676,0.7677200243572291,-8.435954604446655,6.287249614439114,
province_辽宁,-0.5539342472102682,3.3172133261215824,-0.1669878276589214,0.8685001226019033,-7.328587654823791,6.220719160403255,
province_重庆,-0.5484444462853659,2.983914575828802,-0.18380031745145783,0.855406817427341,-6.642410996456319,5.545522103885587,
province_陕西,-0.6565536649290848,3.894785302766055,-0.16857249216351003,0.8672643306451002,-8.610766411975076,7.2976590821169065,
province_青海,-1.6940831397728928,8.097714147314187,-0.2092051051635082,0.8357022483015056,-18.23182170183352,14.843655422287735,
province_黑龙江,-1.1812978703733883,4.91597976295596,-0.24029754542013784,0.8117340998601773,-11.221067935992632,8.858472195245856,
year_2017,0.09204628336805837,0.025314016642914633,3.6361785119479264,0.0010266148085949526,0.04034816441988269,0.14374440231623403,***
year_2018,0.10624484536193776,0.0351391295426731,3.023548014554931,0.00507950763295641,0.03448116895853538,0.17800852176534016,***
year_2019,0.12969846414287142,0.04567151129966869,2.839811086869207,0.008029483855475444,0.036424794577907316,0.22297213370783553,***
year_2020,0.13904008810353208,0.05452040914232072,2.5502392643565863,0.016109992710649546,0.027694558205896294,0.2503856180011679,**
