province,year_from,year_to,D_tt,D_t1t1,D_t_t1,D_t1_t,EFFCH,TECH,Malmquist
上海,2016,2017,0.9005539102824566,0.9300559031482395,0.9523918393663112,0.8811225440010956,1.0327598298435345,1.0230338588030525,1.056548273941615
上海,2017,2018,0.9300559031482395,0.991983271014717,1.07913248886663,0.8468194886910235,1.0665845651394215,1.0930607869162705,1.1658417640840442
上海,2018,2019,0.991983271014717,0.911825189310489,1.035844296480919,0.8674278601858307,0.9191941194509935,1.139795498694152,1.0476933197763771
上海,2019,2020,0.911825189310489,0.8315326601308914,0.9142222135773397,0.8387855197116515,0.9119430674641553,1.0932426328660005,0.9969750400984099
云南,2016,2017,0.5235415393832632,0.5386684342827671,0.5516787087435523,0.5115989302249957,1.0288933995902665,1.0237480963616001,1.0533276591895504
云南,2017,2018,0.5386684342827671,0.8008200390274094,0.8276810138139292,0.5085926819971831,1.4866659860878892,1.0462602855046,1.5554395790542925
云南,2018,2019,0.8008200390274094,0.940606454716221,0.9457058048988173,0.7957074103087792,1.174554093150043,1.0059231773237167,1.1815111853200682
云南,2019,2020,0.940606454716221,1.0,1.0551831715790665,0.890050951534246,1.063143884443891,1.0559916182778644,1.1226710309961192
内蒙古,2016,2017,0.5029618932236531,0.4611336313208644,0.4810860170404886,0.48372824358306216,0.9168361212522538,1.0415132198354353,0.9548969407068664
内蒙古,2017,2018,0.4611336313208644,0.4772104967144588,0.49242878925751576,0.44344005418487575,1.0348637885021401,1.0358876685155844,1.0720026371026867
内蒙古,2018,2019,0.4772104967144588,0.4599015869857022,0.5013800813801456,0.4395898966409522,0.963728983649927,1.087883092009776,1.0484244665925213
内蒙古,2019,2020,0.4599015869857022,0.45864795079566817,0.5030019792667955,0.41972220402475763,0.997274120756463,1.0962171696515637,1.0932290140224017
北京,2016,2017,1.0,1.0,1.0403407581181114,1.0066857259409463,1.0,1.0165783384514115,1.0165783384514115
北京,2017,2018,1.0,1.0,1.117949924638452,0.9786465269275009,1.0,1.068804431725779,1.068804431725779
北京,2018,2019,1.0,1.0,1.1036620230291916,1.0192170317592026,1.0,1.0406021363906273,1.0406021363906273
北京,2019,2020,1.0,0.9464822193505297,0.9709716520947854,0.9783883335542014,0.9464822193505297,1.0239798550352084,0.9691787257639576
吉林,2016,2017,0.5334104404990283,0.39111630411983805,0.40388806731184296,0.5180518380267406,0.7332370617904141,1.0311496471213315,0.7560771375214675
吉林,2017,2018,0.39111630411983805,0.40468628271587614,0.44682013642995744,0.3547834036273007,1.0346955073288897,1.1032614383856685,1.1415396537068598
吉林,2018,2019,0.40468628271587614,0.38429590260430757,0.47310487291819137,0.32828534327252357,0.9496143531855654,1.2319109874934697,1.1698403555708023
吉林,2019,2020,0.38429590260430757,0.4315053249346505,0.48102253738639844,0.34350870479883816,1.122846540934766,1.1167440217923845,1.2539321619791581
四川,2016,2017,0.9140787124045955,0.8812491614890634,0.9339819877788628,0.8807357730701338,0.9640845471292402,1.0487908051631303,1.0111230084290077
四川,2017,2018,0.8812491614890634,0.8923107285282708,0.9048543808764593,0.872328449685852,1.0125521447538361,1.012140095177111,1.0248446241629354
四川,2018,2019,0.8923107285282708,0.9079836944168782,0.9722678967963498,0.8298038325284259,1.0175644709712923,1.0730606950014199,1.091908438429207
四川,2019,2020,0.9079836944168782,0.9810377170780051,1.062251922687304,0.8391941028976239,1.0804574169231567,1.0823774200696086,1.1694627114243599
天津,2016,2017,0.7485864565727846,0.6373481096201453,0.7170950206097618,0.6544127953521452,0.8514021380216841,1.1344754287611734,0.9658948055803298
天津,2017,2018,0.6373481096201453,0.6988730389413528,0.7134296625793991,0.5326226989908639,1.0965326928762302,1.1052358241568596,1.211927214526001
天津,2018,2019,0.6988730389413528,0.6963763561573767,0.7503173551009197,0.6627643828137172,0.9964275588771345,1.0659088057654738,1.0621009093145328
天津,2019,2020,0.6963763561573767,0.7371216614505922,0.8021160118460199,0.6421331646976735,1.0585104662628828,1.08632172321204,1.1498829137486746
