空间条件,Shorrocks流动性指数,稳态_低,稳态_中低,稳态_中高,稳态_高,空间条件独立性G统计量,置换p值
无条件,0.1875,0.2580645161290355,0.25806451612903125,0.2258064516129022,0.258064516129031,21.758281168518582,0.087
低邻域,0.051282051282051246,,,,,,
中邻域,0.20846930846930847,,,,,,
高邻域,0.3280423280423282,,,,,,
