模型,被解释变量,核心解释变量,系数,标准误,t值,p值,观测值,省份数,组内R2,说明
基准：双向固定效应,ln_y_clean,ln_cum_tfp,0.44603209406344047,0.19143264368053975,2.3299688364946416,0.021521870553177225,155,31,0.5263320699417366,省份聚类稳健标准误
双侧1%缩尾,ln_y_clean,ln_cum_tfp,0.38161608953728693,0.14684797255086995,2.598715412329512,0.01056093468877739,155,31,0.5022864227363679,降低极端值影响
剔除四个直辖市,ln_y_clean,ln_cum_tfp,0.4933380146925737,0.20075760071271478,2.4573815035702835,0.01569913101167142,135,27,0.5855727001541036,检验行政层级影响
解释变量滞后一期,ln_y_clean,L1_ln_cum_tfp,0.2545152022500184,0.15201861240963746,1.674237109625683,0.09767555318152854,124,31,0.34832451338155956,缓解同期反向作用
水平值函数形式,y_clean,cum_tfp,0.04334243509768004,0.02969705165019151,1.459486133782595,0.14711108286132513,155,31,0.2577743977624911,不依赖对数设定
Driscoll-Kraay标准误,ln_y_clean,ln_cum_tfp,0.44603209406344047,0.09092894899173129,4.9052815303518,3.041875971110386e-06,155,31,0.5263320699417366,允许截面相关和序列相关
