setting,coef,se,t,reported_p,reported_df,p_t30,p_normal
PanelOLS default,0.44603209406344047,0.19143264368053975,2.3299688364946416,0.021521870553177225,117,0.026725082625212292,0.019807798261972653
PanelOLS group_debias=True,0.44603209406344047,0.19396828586557063,2.2995104177626344,0.02324945890387875,117,0.028612658217710762,0.0214759724935144
"Dummy OLS CR1, t(G-1)",0.4460320940634531,0.19396828586556944,2.299510417762714,0.02861265821770571,30,0.02861265821770571,0.021475972493509892
