specification,coef,se,t,p,ci_low,ci_high,n,clusters,inference_df,r2,adjusted_r2,covariance
Baseline,0.4460320940634531,0.19396828586556944,2.299510417762714,0.02861265821770571,0.049896006444235974,0.8421681816826703,155,31,30,0.9570107385654119,0.9434158439237045,Province CR1; t(G-1)
Winsorized 1 percent,0.3816160895372933,0.14879306355952296,2.5647438153905084,0.015570273070222239,0.07774011414100018,0.6854920649335865,155,31,30,0.9619939432990402,0.949974933914976,Province CR1; t(G-1)
Excluding municipalities,0.49333801469257277,0.2038227795204263,2.4204262931422367,0.022789491760873647,0.07437429112232075,0.9123017382628248,135,27,26,0.9601757902421959,0.9471639197272698,Province CR1; t(G-1)
Lagged TFP,0.254515202250014,0.15390711478656388,1.6536935449863506,0.10861775852300529,-0.05980505910737838,0.5688354636074064,124,31,30,0.9674612021782498,0.9539968720451119,Province CR1; t(G-1)
Levels,0.043342435097682736,0.0300904072215701,1.4404070632388455,0.1601079473538171,-0.018110374769817736,0.1047952449651832,155,31,30,0.9730067922896419,0.9644704787402124,Province CR1; t(G-1)
Driscoll-Kraay,0.44603209406344047,0.09092894899173129,4.9052815303518,3.041875971110386e-06,0.26595207538196064,0.6261121127449203,155,31,117,,,Driscoll-Kraay Bartlett bandwidth 2; residual t degrees of freedom
