Province,2016,2017,2018,2019,2020
Yunnan,1,1.0533276591895504,1.6383875308160376,1.9357731935480762,2.1732364869752687
Qinghai,1,1.0816200429990619,1.2644109340430449,1.725414536029362,2.0921881142469214
Guizhou,1,1.1109140465025165,1.2478116745660319,1.4593179111116148,1.6871857333656899
Tibet,1,1.0374120326152758,1.2562025717286756,1.5622619393559958,1.5902265291568902
Ningxia,1,1.0676133245702468,1.3317816685525294,1.3652503492363721,1.6586110180706488
Guangxi,1,1.1128114281238415,1.2016905810423513,1.3323054124525997,1.4187394312548089
Xinjiang,1,1.0944471042748856,1.2204784263092292,1.2848755168203654,1.4095484932230149
Heilongjiang,1,1.0901260582613745,1.1329654760265169,1.3001126042070938,1.4278825719421004
Shanghai,1,1.056548273941615,1.2317681035320445,1.2905152135841398,1.2866114568106557
Hebei,1,0.93021661609056117,1.1552981940466864,1.2981257647578226,1.4550083567637346
Tianjin,1,0.96589480558032981,1.1705942012521022,1.243289165588177,1.4296369683586914
Shanxi,1,1.0681828969895457,1.0928661071710064,1.2004565997748615,1.3928940045171336
Henan,1,1.0090987980804973,1.0728202818917967,1.2061803048350372,1.4102215448605107
Zhejiang,1,1.0062831740930518,1.0842956510638493,1.2311959784415796,1.3400297109022428
Guangdong,1,0.98506208918260607,1.0642664842186682,1.2340718179650625,1.3765743691256787
Shaanxi,1,1.0219305308452393,1.0821891840477169,1.1792129883433602,1.33723045801531
Fujian,1,0.9878701995059368,1.0852230545995549,1.212307393536187,1.3195385151870385
Shandong,1,1.0122721641373134,1.0804448193253018,1.1637249251788144,1.2541764732130873
Sichuan,1,1.0111230084290077,1.0362439795559231,1.131483545548575,1.3232278151092847
Gansu,1,0.95796630826043494,1.0288369028808579,1.1907910424101931,1.3199915778475113
Hubei,1,0.98506744175363359,1.0262346488112057,1.1683857111127443,1.2928748569909454
Jiangxi,1,0.97777928237253375,1.024441816623564,1.1522529242061987,1.2538175751000675
Chongqing,1,0.95333428531866748,1.0000235480796582,1.1332127707130237,1.3157755003856759
Hainan,1,0.99745103627721976,1.0137489009825043,1.148432069066549,1.2297875351973622
Beijing,1,1.0165783384514115,1.0865234333332976,1.1306386059651088,1.0957908834288015
Anhui,1,1.0019935952466572,1.0240781014178479,1.0915216576890543,1.2023647660679324
Inner Mongolia,1,0.95489694070686637,1.0236520385990486,1.0732218425445545,1.1732772567522887
Jiangsu,1,0.9915758030620444,1.0027186364611251,1.0519665982935242,1.1191962135727396
Hunan,1,0.85055256100378285,0.87112621604602469,1.0542004955554691,1.2425885208147414
Liaoning,1,0.88889482289971322,0.95070509622424404,1.0319775283081525,1.0858199400276969
Jilin,1,0.75607713752146755,0.86309203374192989,1.0096798916429861,1.2660700894347716
