模型编号,模型设定,控制变量,省份固定效应,年份固定效应,ln_cum_tfp_系数,ln_cum_tfp_聚类标准误,ln_cum_tfp_p值,ln_pop_density_系数,ln_pop_density_标准误,ln_pop_density_p值,primary_share_系数,primary_share_标准误,primary_share_p值,观测值,省份数,R²,调整后R²
Model_1,裸回归（无控制变量，无固定效应）,否,否,否,-0.01940710538901609,0.13350051095973464,0.8853902797905776,,,,,,,155,31,9.62525902390432e-05,-0.006439066020282214
Model_2,加控制变量（无固定效应）,是,否,否,0.2926298371071335,0.10745050044758954,0.01066543043982473,0.1400622426932264,0.029637160345760163,5.0466178078618096e-05,-0.01666478287613759,0.006930627792460279,0.022572853262366865,155,31,0.5914150441110342,0.5832974622059555
Model_3,加控制变量 + 年份固定效应（无省份固定效应）,是,否,是,-0.27936179031224617,0.1629670703170743,0.09680344540075538,0.12816905577674775,0.027256691303883293,5.3932883834815514e-05,-0.015841765201067087,0.006224462496992504,0.016306036137061837,155,31,0.6620977767743973,0.6460071947160353
Model_4,加控制变量 + 省份固定效应（无年份固定效应）,是,是,否,0.7162369400970203,0.11760695067251055,1.0841736847328442e-06,-0.643799879673721,1.2738540134181167,0.6169743622333038,-0.040284061326524755,0.017568211847201216,0.029030889196346447,155,31,0.9482867652841195,0.9341831558161521
Model_5,加控制变量 + 双向固定效应（省份+年份）【基准模型】,是,是,是,0.44603209407395406,0.19396828596146107,0.028612658286892665,-0.10389669220668996,1.341571667385591,0.9387845458429883,-0.0028778086652246626,0.025981145980673363,0.9125402054497852,155,31,0.9570107385654119,0.9434158439237045
