year,region,省份数,Y均值,Y标准差,TFP均值,TFP标准差
2016,全国,31,0.36504536669633736,0.14851270808782896,1.0,0.0
2017,全国,31,0.3939302479625632,0.14188768794399761,1.0011265098802222,0.07612823862389186
2018,全国,31,0.41356162705886335,0.1355365142930771,1.1085458160319477,0.14820329067925048
2019,全国,31,0.4401189487858318,0.13092736839327387,1.2449082676716985,0.19955311818973287
2020,全国,31,0.46180968435254727,0.12346538214294075,1.3864555731199757,0.24463041824248238
2016,东部,11,0.5017023953849934,0.15103306639195604,1.0,0.0
2016,中部,8,0.3160229294154744,0.06773360352104349,1.0,0.0
2016,西部,12,0.27245804858564465,0.08198384774580426,1.0,0.0
2017,东部,11,0.5230678179624692,0.14377640107004672,0.9853315748383458,0.04485624382557465
2017,中部,8,0.34351979297526153,0.07228059011856235,0.9673597214036864,0.1114097427922755
2017,西部,12,0.30916111212085057,0.08015583594038767,1.0381163926529662,0.059218129126144985
2018,东部,11,0.5321596096248805,0.1408302813990118,1.084144234094489,0.08008531827692171
2018,中部,8,0.37235621890290826,0.061684080252618075,1.0134530852162364,0.09810817549864129
2018,西部,12,0.332317081810651,0.08454517043274293,1.194309086685092,0.18097174273423414
2019,东部,11,0.5411108277765874,0.15411803195209883,1.1851131873350107,0.08858609184799911
2019,中部,8,0.4015432462804257,0.06439987950366545,1.1478487736279306,0.09321938124352602
2019,西部,12,0.37326019471457644,0.07975270548755074,1.3644267540095079,0.26444266047415677
2020,东部,11,0.5647004383999346,0.13678580988909028,1.272015492962521,0.1294372241940328
2020,中部,8,0.43245531401255455,0.06715006064689848,1.3110892412160253,0.08644718187419122
2020,西部,12,0.38706274003577074,0.0662318548826159,1.5416032012002763,0.3158131679793672
